country,year,NY.GDP.PCAP.KD
China,2005,3465.81734409951
China,2004,3127.86276523632
China,2003,2857.0373538115
China,2002,2610.72960252379
China,2001,2405.89396743215
China,2000,2237.44298500334
China,1999,2076.81812919622
China,1998,1944.43719705771
China,1997,1819.09789302268
China,1996,1681.62743528935
China,1995,1545.19429404212
China,1994,1406.85845705008
China,1993,1258.34946089635
China,1992,1117.27329480169
China,1991,989.548540519036
China,1990,917.270661782581
China,1989,895.53052635227
China,1988,872.659353617186
China,1987,797.34114295479
China,1986,725.829362656239
China,1985,676.279975098168
China,1984,604.354027423819
China,1983,531.391311022454
China,1982,486.894420983869
China,1981,453.072706510383
China,1980,436.591787138212
China,1979,409.983402451709
China,1978,386.173258026462
China,1977,351.558278512051
China,1976,331.302441675199
China,1975,341.835493900954
China,1974,320.021423931396
China,1973,319.325276730838
China,1972,303.174293759294
China,1971,299.312840926518
China,1970,287.360990977917
China,1969,247.617408237114
China,1968,217.629498896299
China,1967,232.936829969655
China,1966,253.637443822626
China,1965,235.704122134957
China,1964,206.39971909742
China,1963,178.749038517739
China,1962,166.089290187301
China,1961,177.353933927811
China,1960,241.38865640518
Mexico,2024,10313.4868482109
Mexico,2023,10253.5262648956
Mexico,2022,10013.366859074
Mexico,2021,9728.05680082173
Mexico,2020,9234.64362409252
Mexico,2019,10159.4448356722
Mexico,2018,10296.8690920868
Mexico,2017,10193.7727202899
Mexico,2016,10100.5021214851
Mexico,2015,10021.2386124039
Mexico,2014,9862.4812527519
Mexico,2013,9738.71059677222
Mexico,2012,9782.51776268033
Mexico,2011,9575.93437796508
Mexico,2010,9389.06722045352
Mexico,2009,9074.1188146315
Mexico,2008,9826.34218464752
Mexico,2007,9877.69532652913
Mexico,2006,9813.82804202904
Mexico,2005,9491.51730283716
Mexico,2004,9421.28976148291
Mexico,2003,9221.9966670073
Mexico,2002,9242.27886137666
Mexico,2001,9398.35074363503
Mexico,2000,9581.96970218684
Mexico,1999,9264.97729267637
Mexico,1998,9161.89527790964
Mexico,1997,8770.84481560799
Mexico,1996,8320.6529570172
Mexico,1995,7970.64038502779
Mexico,1994,8623.48043015105
Mexico,1993,8411.7962134526
Mexico,1992,8330.26426809383
Mexico,1991,8197.0117950168
Mexico,1990,8036.86114419189
Mexico,1989,7783.80581019288
Mexico,1988,7657.72747552129
Mexico,1987,7716.49731743412
Mexico,1986,7713.61215372427
Mexico,1985,8194.16249394926
Mexico,1984,8207.92337543922
Mexico,1983,8098.51642180867
Mexico,1982,8676.57130978529
Mexico,1981,8875.07151196658
Mexico,1980,8290.28898934596
Mexico,1979,7814.54966740214
Mexico,1978,7309.60711430028
Mexico,1977,6888.57894651042
Mexico,1976,6845.37111757038
Mexico,1975,6740.62499358816
Mexico,1974,6559.30112742402
Mexico,1973,6385.19714678706
Mexico,1972,6099.20317395944
Mexico,1971,5809.39879123005
Mexico,1970,5774.770459312
Mexico,1969,5596.3968779824
Mexico,1968,5589.05119204824
Mexico,1967,5278.10822027157
Mexico,1966,5153.81469093365
Mexico,1965,5021.34799293646
Mexico,1964,4845.87442784428
Mexico,1963,4474.727508681
Mexico,1962,4276.14326512392
Mexico,1961,4219.18150872936
Mexico,1960,4145.79302187822
United States,2024,66682.6147044553
United States,2023,65505.2557007675
United States,2022,64198.4324880296
United States,2021,62986.6563127547
United States,2020,59484.0335530935
United States,2019,61047.9648235152
United States,2018,59817.6556796969
United States,2017,58435.9707521832
United States,2016,57430.8499282527
United States,2015,56849.4697923159
United States,2014,55665.2411167663
United States,2013,54728.8601798884
United States,2012,54000.8410760833
United States,2011,53215.5362316915
United States,2010,52812.682985453
United States,2009,51863.6183424227
United States,2008,53703.9628962873
United States,2007,54152.8292653448
United States,2006,53596.3152369749
United States,2005,52649.5713058632
United States,2004,51348.3473392466
United States,2003,49905.5233079503
United States,2002,48967.3661209521
United States,2001,48597.4246130164
United States,2000,48616.2546267835
United States,1999,47234.2455275781
United States,1998,45596.4306860229
United States,1997,44151.6860411494
United States,1996,42783.8165710653
United States,1995,41710.8207239918
United States,1994,41106.9881841375
United States,1993,40002.4762262205
United States,1992,39447.9472847522
United States,1991,38637.8398159491
United States,1990,39200.0658103964
United States,1989,38911.5418949927
United States,1988,37889.3773472194
United States,1987,36701.9453883904
United States,1986,35794.8877745985
United States,1985,34918.1302027193
United States,1984,33818.8235524677
United States,1983,31810.9216083487
United States,1982,30696.0834358718
United States,1981,31559.1293373937
United States,1980,31081.62163338
United States,1979,31462.1003883959
United States,1978,30834.99923167
United States,1977,29528.9663680223
United States,1976,28509.143056991
United States,1975,27309.8688161152
United States,1974,27637.2997739418
United States,1973,28042.5519161983
United States,1972,26798.5336088951
United States,1971,25734.4828326397
United States,1970,25231.1271568518
United States,1969,25479.7488035953
United States,1968,24950.882784753
United States,1967,24020.7533179974
United States,1966,23635.4971627863
United States,1965,22430.6652310647
United States,1964,21326.9266882957
United States,1963,20446.9297323947
United States,1962,19877.215292714
United States,1961,19019.4652460385
United States,1960,18853.7217509669
