,600755.SH,600309.SH,600031.SH,600886.SH,000768.SZ,002594.SZ,000651.SZ,600138.SH,600177.SH,600276.SH,600519.SH,002714.SZ,600036.SH,601318.SH,000002.SZ,601138.SH,600111.SH,300413.SZ,002093.SZ
1110,8.16,42.64,13.92,8.42,16.28,56.34,54.4,12.58,6.34,66.6,946.36,70.71,36.43,88.85,29.97,13.06,11.19,37.99,8.8
1111,8.2,42.69,13.99,8.49,16.31,56.8,54.76,12.59,6.35,66.72,963.0,71.71,37.26,89.41,30.08,13.41,11.24,38.0,8.77
1112,8.16,43.41,14.65,8.58,16.5,57.42,55.12,12.62,6.37,66.82,965.03,71.54,37.22,90.1,29.96,13.25,11.19,37.76,9.07
1113,8.16,44.38,14.34,8.61,16.55,57.22,55.46,12.52,6.36,66.65,976.41,76.0,36.83,89.45,29.7,13.31,11.23,37.37,9.07
1114,8.11,43.98,14.31,8.43,16.48,57.08,54.62,12.54,6.58,66.96,978.93,77.16,36.77,89.98,29.82,13.39,11.19,39.29,8.99
1115,8.16,43.98,14.12,8.52,16.46,55.95,55.08,12.56,6.48,66.94,972.6,76.6,36.56,88.09,28.76,13.67,11.24,39.0,9.07
1116,8.12,43.91,14.19,8.64,16.3,55.73,55.09,12.73,6.43,66.73,959.3,77.39,36.2,87.51,28.42,13.42,11.07,38.6,8.97
1117,8.03,43.5,13.93,8.68,15.93,54.39,53.68,12.52,6.36,66.04,954.45,78.2,35.75,86.03,28.01,12.89,12.07,38.77,8.73
1118,7.78,41.82,13.59,8.54,15.9,52.38,53.43,12.28,6.27,64.1,942.43,77.6,35.21,84.61,27.01,12.62,12.17,37.86,9.21
1119,7.55,41.85,13.56,8.53,15.57,51.37,52.98,11.63,6.13,64.74,946.3,75.26,34.88,84.51,27.02,12.33,11.94,37.18,9.09
1120,7.39,41.79,13.58,8.75,15.19,50.8,50.93,11.49,6.2,65.5,945.0,75.31,34.53,83.47,27.36,12.24,12.31,36.96,9.27
1121,7.35,43.8,13.56,8.8,15.29,50.86,50.27,11.47,6.3,66.66,971.68,75.67,35.36,84.51,27.65,12.35,11.96,37.33,9.68
