trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-03-15,-0.03362186,0.0009732979,0.0059320627,0.0137983674,-0.020645011,-0.007785473,0.000285,-0.003996366,0.0097068455,-0.001888949,-0.020049236,0.00440375
1994-03-16,0.0058105284,0.0221220249,0.0163005403,0.0295191035,-0.033738318,-0.009235353,0.000285,0.0253114985,0.0196316977,0.0240326859,-0.031796784,-0.005000917
1994-03-17,-0.004714742,0.0136991699,-0.020679501,-0.008767127,0.0205824949,0.0315733652,0.000285,0.0083035756,-0.014896998,-0.007040587,0.0134855128,0.0314365
1994-03-18,-0.012723225,-0.004650917,-0.004756607,0.0017334027,0.0116749185,0.0001339433,0.000285,-0.00677325,-0.006871802,0.0029142564,0.0087777548,-0.00211825
1994-03-21,-0.038720311,-0.007184924,-0.009890923,0.0082353831,0.012351613,0.0151387607,0.000285,-0.006609958,-0.006241632,0.0122630385,0.0162751827,0.0080671667
1994-03-22,-0.001351163,0.012026462,0.0137372326,0.0162302127,-0.026251774,-0.012865183,0.000285,0.0119176019,0.009026225,0.0141716503,-0.018906426,-0.003836
1994-03-23,-0.030648349,0.0063955,0.0141218838,0.0085835149,-0.018361905,-0.002516216,0.000285,0.0111356418,0.0215046182,0.0103890705,-0.013372298,0.0036545
1994-03-24,-0.00911486,0.0130490524,0.0175409489,0.0114923673,-0.007272925,-0.004817032,0.000285,0.0140947165,0.0183752136,0.0139600962,-0.008206514,-0.002850417
1994-03-25,0.0082919281,-0.011993255,0.0018492305,0.0192975883,-0.023880186,-0.017219416,0.000285,-0.008071256,-0.002589245,0.0056002564,-0.014576587,-0.01616075
1994-03-28,-0.027429207,0.0098452969,0.0255704782,0.0103745467,-0.010052418,-0.006610229,0.000285,0.0135732805,0.0352313318,-0.002206545,-0.010446938,-0.0058005
1994-03-29,0.0171230311,0.0060753299,-0.0126738,0.0079306417,0.0042076182,-0.013588669,0.000285,0.0073048042,-0.008041266,-0.003027474,0.0035642163,-0.023380583
1994-03-30,0.0063799934,0.0168130775,-0.013269905,-0.016585455,0.0123232429,0.06330559,0.000285,0.0270516934,-0.002369243,-0.013493147,-0.002918872,0.035227
1994-03-31,-0.01761073,0.0132113539,-0.019755796,0.0178644725,-0.019857417,-0.007906956,0.000285,0.0122281741,-0.021311994,0.0162878333,-0.004907813,0.001812
1994-04-01,-0.011920844,-0.015618594,0.0114431223,0.007513477,-0.003334393,-0.000577591,0.000285,-0.018689715,0.0098022778,-0.004778705,-0.00599141,0.0009586667
1994-04-04,-0.011992431,0.0292724927,0.0162785027,0.0056552721,-0.005750799,-0.01982343,0.000285,0.0197569754,0.0092765409,-0.003920042,-0.009952654,0.0020954167
1994-04-05,-0.002822911,-0.007525572,-0.011500611,-0.003207117,0.0088981465,0.0017092156,0.000285,-0.010535296,-0.0137102,-0.002548167,0.0104704183,0.0041329167
1994-04-06,0.0051442423,0.0224298542,-0.0226081,0.0076277895,0.0149614453,0.0127775682,0.000285,0.0236019136,-0.026213955,0.0123591364,0.0234890385,0.00519025
1994-04-07,-0.002039362,0.0033183561,0.0182649099,-0.007051628,-0.008756853,0.0022971961,0.000285,0.0039268126,0.0156718523,-0.015712792,-0.01618874,0.004655
1994-04-08,-0.016806215,0.0090531898,0.019474659,0.0195053929,-0.026455644,-0.032977718,0.000285,0.0079635987,0.0178120091,0.018226375,-0.020566282,-0.014621167
1994-04-11,-0.034923158,0.0333606029,0.0204539692,-0.007353463,-0.013098597,-0.021146614,0.000285,0.0320266852,0.0170315,-0.013678542,-0.014234024,-0.014514833
1994-04-12,0.0029838384,0.0053351996,0.0008989202,0.0036127241,-0.011234832,0.0224887411,0.000285,0.0111308726,0.0052591144,0.0017852,-0.012169728,0.0158539167
1994-04-13,-0.016238641,0.0106559318,0.0193315701,-0.001586553,-0.003317582,-0.012464749,0.000285,0.0165470628,0.0213437386,0.0048792708,-0.004457264,-0.009355417
1994-04-14,-0.046697502,0.0072780902,0.0181659274,0.0165472779,-0.02399518,-0.012423629,0.000285,0.0076995076,0.0177736614,0.01060775,-0.021326313,-0.007341167
1994-04-15,0.0081790518,-0.009787951,-0.038478512,-0.018692698,0.0488810436,0.0210884492,0.000285,-0.014516607,-0.038286,-0.0259635,0.0446795529,0.0048573333
1994-04-18,-0.050532295,0.0311029471,0.0367409446,-0.001531411,-0.022649212,-0.012331806,0.000285,0.0354801731,0.0442457818,0.0075836875,-0.037342053,-0.003694167
1994-04-19,-0.073092906,0.0181307399,0.0202779496,0.0053025074,-0.016638706,0.0098225839,0.000285,0.0206689956,0.0227022545,0.0093619,-0.009564981,0.005037
